"record","uuid","date","hsample","hsampletype","state","s3","s4","h3r1","h3r2","h3r3","h3r4","h3r5","h3r7","h3none","s5","s6","s7","h1r1","h1r2","h1r3","h1r4","h1none","s8","s9","s10","rh","q1r1","q1r2","q1r3","q1r4","q1r5","q1r6","q1r7","q1r8","q1r9","q1r20","q1r10","q1r11","q1r12","q1r13","q1r14","q1r15","q1r16","q1r17","q1r18","q1r19","q2","q3","q4","q5","q6","q7","q8","q9r1","q9r2","q9r3","q9r4","q9r5","q9r6","q9r7","q9r8","q9r9","q9r10","q9r11","q9r12","q9r13","q9r14","q9r15","q10","q18r1","q18r2","q18r3","q18r4","q18r5","q18r6","q18r7","q18r8","q19","q20r1","q20r2","q20r3","q21r1","q21r2","q21r3","q21r4","q21r5","q21r6","q21r7","q21r8","q21r9","q22","q23","q24","q25","q26r1","q26r2","q26r3","q26r4","q26r5","q26r6","q26r7","q28","q29","q30","d1","d2","d3","d4r1","d4r2","d4r3","d4r4","d4r5","d5","d6","d12r1","d12r2","d12r3","d7","d8r1","d8r2","d8r3","d8r4","d8r5","d8r6","d8r7","d9r1","d9r2","d9r3","d9r4","d10","d11","conditionsmarker_split_b","conditionsmarker_split_a","vlist","qtime","vos","vosr15oe","vbrowser","vbrowserr15oe","vmobiledevice","vmobileos","start_date","azcounty","hpid3","q12","q16","az1","az2","az3","az4","az5","az6","az7","az8","az9","az10","az11","az12","az13","az14","az15","az16","az17","az18","q49","q50","q51","d13","weight","race","pid3"
16,"zfcvvmcjzm8hz1t5",10/19/2022 13:19:00,4,2,3,1,,0,0,0,0,1,0,0,1,1,2001,1,0,0,0,0,1,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,2,3,3,10,4,1,5,5,5,,,,,,,5,5,,,6,4,3,2,2,4,2,2,3,2,,,,2,2,2,4,2,3,2,3,3,2,3,1,2,2,1,1,2,1,2,1,3,2,4,12,,2,0,1,0,0,0,1,3,2,1,3,1,0,0,1,0,0,0,0,3,4,4,4,1,2,0,1,4,1102.22,12,,13,,1,1,10/19/2022 13:00:00,8,2,6,6,6,5,1,2,2,2,4,4,,1,1,1,2,5,5,,3,3,1,,2,,0.470016032457352,1,2
17,"17u5yckxj2b0t4rx",10/19/2022 13:13:00,4,2,3,3,1,1,0,0,0,0,0,0,1,2,2000,1,0,0,0,0,1,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,4,5,2,4,5,4,1,,,,,,,5,5,,,1,4,3,4,1,1,4,4,4,2,,,,2,1,2,3,1,2,4,4,4,3,1,1,2,1,1,1,1,1,1,1,2,1,5,,,1,1,0,0,0,0,,,,,,4,1,0,0,0,0,0,0,1,3,4,4,1,1,0,1,4,655.06,14,,10,,1,2,10/19/2022 13:01:00,12,1,2,4,2,3,2,2,2,1,3,3,,1,3,3,3,5,2,,2,2,3,,2,,0.410528212785721,2,1
18,"521sck5vhuf397tr",10/19/2022 13:16:00,4,2,3,4,1,0,0,1,0,0,0,0,1,1,2001,1,0,0,0,0,3,5,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,3,7,2,4,2,5,5,,,,,,,3,5,,,6,1,1,3,1,1,4,2,3,1,0,0,1,2,2,1,3,1,2,2,4,4,2,2,1,2,4,4,3,3,4,4,4,2,3,1,,,,0,0,0,1,1,,,,,,3,0,1,1,0,0,0,1,3,3,1,4,3,4,1,0,4,472.85,12,,13,,1,1,10/19/2022 13:08:00,8,2,5,3,5,5,2,2,1,1,2,,3,1,3,2,2,7,,1,1,2,2,2,,,0.768240034580231,2,2
23,"gfxhz948pspzbjs8",10/19/2022 13:35:00,4,2,3,1,,0,0,0,0,1,0,0,1,2,1968,0,0,1,0,0,1,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,4,,3,3,3,1,3,4,4,4,4,,,,,,,2,4,,,6,4,3,1,1,4,2,2,4,1,0,0,1,2,2,2,1,2,2,3,4,4,1,3,1,1,4,4,4,4,4,4,4,2,5,5,12,,1,1,0,0,0,0,5,3,1,2,3,2,1,0,0,0,0,0,0,4,4,4,4,2,1,1,0,4,1305.84,14,,10,,1,2,10/19/2022 13:13:00,11,1,6,6,6,6,2,3,2,1,3,,3,2,3,1,2,5,,2,2,2,2,2,,,0.452390402555466,1,1
27,"bpayw9q3bnk0n905",10/19/2022 13:47:00,2,2,3,2,,0,0,0,1,0,0,0,1,1,1987,0,1,0,0,0,1,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,4,10,1,4,1,4,1,,,,,,,1,4,,,1,1,1,1,1,1,1,1,2,1,1,0,0,2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,,,1,1,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,1,6,1,0,2,766.18,14,,10,,1,2,10/19/2022 13:32:00,5,1,1,1,1,1,1,1,1,1,2,,1,2,2,1,1,10,,1,2,1,1,2,,,1.72751927375793,2,1
28,"d32ryw94793x1b44",10/19/2022 13:59:00,2,2,3,2,,0,0,0,1,0,0,0,1,1,1987,0,1,0,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,1,1,1,10,1,3,2,4,1,,,,,,,1,3,,,1,1,2,1,2,1,2,1,3,2,,,,1,1,2,1,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,,,1,1,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,1,6,0,1,2,608.71,14,,10,,1,2,10/19/2022 13:46:00,5,1,1,1,1,1,1,1,1,1,2,2,,3,1,1,1,10,1,,3,1,1,,1,,1.72751927375793,2,1
29,"3dy0rwmmgjgv98vm",10/19/2022 13:57:00,2,2,3,2,,0,0,0,1,0,0,0,1,1,1952,0,0,0,1,0,1,6,4,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,3,10,2,4,2,4,2,,,,,,,2,4,,,1,4,3,4,4,4,1,4,4,2,,,,2,2,1,1,1,1,2,4,4,2,1,1,3,1,4,1,1,4,1,1,4,1,1,,,1,1,0,0,0,0,,,,,,4,1,0,0,0,0,0,0,1,1,1,1,3,2,0,1,2,532.83,4,,12,,5,6,10/19/2022 13:47:00,8,3,1,1,1,3,2,3,1,2,2,4,,1,1,2,2,10,5,,1,1,1,,2,,2.11141228675842,2,3
33,"dspekuqnvmgjvfmd",10/19/2022 13:59:00,2,2,3,2,,0,0,0,1,0,0,0,1,1,1986,0,1,0,0,0,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,1,1,1,1,1,,,,,,,2,2,,,4,1,2,1,1,2,1,1,2,1,0,1,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,,,1,1,0,0,0,0,,,,,,1,1,0,0,0,0,0,0,1,1,1,1,4,6,1,0,2,332.92,14,,10,,1,2,10/19/2022 13:52:00,10,1,1,1,4,4,1,1,2,1,1,,2,1,1,1,1,9,,1,1,1,1,1,,,1.72751927375793,2,1
39,"ad65c87u722r149t",10/19/2022 14:32:00,98,1,3,1,,0,0,0,0,1,0,0,1,1,1965,0,0,1,0,0,1,4,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,10,1,4,1,4,1,,,,,,,1,3,,,2,4,4,4,4,4,2,4,2,1,0,0,1,1,1,1,1,3,1,3,3,3,1,2,1,3,1,1,1,1,1,1,1,4,1,1,12,,3,0,0,0,1,0,2,2,3,2,1,2,0,0,1,0,0,0,0,1,1,1,1,1,3,1,0,5,1443.9,4,,10,,5,6,10/19/2022 14:07:00,11,1,2,1,1,4,2,2,1,1,1,,4,2,3,1,2,10,,1,1,1,2,2,,,0.431166261434555,1,1
42,"aeb8p7dq8z9rxw3e",10/19/2022 14:47:00,98,1,3,1,,0,0,0,0,1,0,0,1,1,1955,0,0,0,1,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,2,3,9,2,5,2,3,1,,,,,,,1,1,,,2,1,2,3,4,4,1,1,2,2,,,,2,2,1,2,2,2,2,3,2,2,2,1,2,1,1,1,1,1,1,1,2,1,3,12,,,0,0,0,0,1,1,1,2,1,3,1,1,0,0,0,0,0,0,1,1,2,2,2,2,0,1,5,1710.83,4,,10,,5,6,10/19/2022 14:18:00,9,1,2,2,2,3,1,2,2,2,2,3,,1,3,1,1,5,2,,3,2,2,,2,,0.560516059398651,1,1
43,"9aqc2jjejwhvbpwx",10/19/2022 14:27:00,113,2,3,1,,0,0,0,0,1,0,0,1,1,1990,0,1,0,0,0,1,5,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,3,10,1,4,1,4,1,,,,,,,1,1,,,1,1,1,1,1,1,2,3,2,2,,,,1,1,1,1,1,1,4,4,4,3,1,2,3,1,1,1,1,1,1,1,2,1,1,12,,2,0,0,0,1,0,1,2,2,1,3,2,0,1,0,0,0,0,0,1,1,1,1,2,6,0,1,6,473.19,12,,13,,1,1,10/19/2022 14:19:00,11,1,1,1,1,1,2,2,2,1,3,1,,1,1,1,1,10,1,,1,1,2,,1,,0.431166261434555,1,1
47,"yp3qxd0uefn119at",10/19/2022 14:43:00,98,1,3,1,,0,0,0,0,1,0,0,1,1,1956,0,0,0,1,0,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,1,2,2,2,9,2,2,2,5,2,,,,,,,2,2,,,2,4,1,1,2,2,3,3,4,2,,,,1,1,1,1,1,1,3,3,3,1,3,1,2,1,1,1,1,1,1,1,2,1,1,12,,,0,0,0,0,1,1,1,2,1,3,1,1,0,0,0,0,0,0,1,1,1,1,2,3,1,0,5,1109.72,4,,10,,5,6,10/19/2022 14:24:00,8,1,3,2,2,3,1,1,1,1,1,,1,2,1,1,5,10,,2,2,1,4,2,,,0.688353061676025,1,1
51,"5qs9ubk5xgq4z1xa",10/19/2022 14:57:00,98,1,3,2,,0,0,0,1,0,0,0,1,2,1975,0,0,1,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,4,10,1,4,2,4,2,,,,,,,1,4,,,1,4,4,4,4,4,2,3,4,1,0,0,1,1,1,1,1,1,2,4,4,4,2,2,1,3,1,1,1,1,1,1,1,2,1,1,,,1,1,0,0,0,0,,,,,,4,0,0,0,1,0,0,0,1,1,1,1,1,5,0,1,5,1598.08,4,,10,,5,6,10/19/2022 14:28:00,8,1,1,1,1,4,1,2,2,1,1,1,,1,1,5,5,10,5,,1,1,2,,2,,1.91946601867676,2,1
60,"gnpeek48cvry52t9",10/19/2022 15:02:00,98,1,3,3,1,1,0,0,0,0,0,0,1,2,1965,0,0,1,0,0,1,5,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,10,2,4,1,4,1,,,,,,,2,5,,,1,4,4,3,4,4,1,4,4,2,,,,1,2,1,1,1,1,3,3,4,2,2,1,3,1,1,1,1,1,1,1,4,1,1,,,1,0,0,0,1,0,,,,,,2,0,0,1,0,0,0,0,1,1,1,2,1,5,1,0,5,1492.42,4,,10,,5,6,10/19/2022 14:36:00,11,1,1,1,1,4,2,2,2,2,2,,2,1,1,1,2,10,,1,1,1,2,2,,,0.440324991941452,2,1
61,"c3dt2ez12t5gkr56",10/19/2022 15:00:00,98,1,3,1,,0,0,0,0,1,0,0,1,2,1975,0,0,1,0,0,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,3,2,1,1,8,2,3,6,2,2,,,,,,,6,6,,,3,4,4,2,4,4,2,3,1,2,,,,2,1,1,1,2,1,1,2,3,2,2,1,1,3,3,3,3,3,3,3,3,2,2,12,,2,0,0,0,1,0,1,1,3,2,1,2,0,0,1,0,0,0,0,1,1,1,4,4,4,1,0,5,1359.24,4,,10,,5,6,10/19/2022 14:37:00,8,3,3,3,3,2,1,2,2,2,1,,4,1,1,2,2,5,,3,3,3,2,2,,,0.518354594707489,1,3
62,"4x1w2n5jrtgvg4ks",10/19/2022 15:06:00,98,1,3,1,,0,0,0,0,1,0,0,1,1,1963,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,8,2,4,1,5,1,,,,,,,5,5,,,1,4,4,4,4,4,4,1,1,2,,,,1,3,1,1,1,1,1,1,3,2,2,1,3,3,3,3,3,3,3,3,4,5,1,12,,1,0,0,0,1,0,1,3,1,2,3,1,0,0,0,0,0,0,1,1,1,1,1,1,2,1,0,5,1680.43,4,,10,,5,6,10/19/2022 14:37:00,12,1,6,1,1,4,1,1,1,1,2,,4,1,3,1,3,2,,2,1,3,1,1,,,0.403430432081223,1,1
64,"vc32t8v5sx2asju9",10/19/2022 15:07:00,4,2,3,6,1,0,0,0,0,0,1,0,1,1,1965,0,0,1,0,0,1,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,2,2,3,4,2,6,4,1,4,2,4,,,,,,,4,2,,,3,4,1,2,4,4,3,2,4,2,,,,1,4,1,3,4,1,1,1,1,2,1,1,1,2,3,4,3,2,2,3,2,2,2,,,1,1,0,0,0,0,,,,,,1,0,1,1,0,0,1,1,1,2,1,2,4,4,0,1,4,1637.94,14,,10,,1,2,10/19/2022 14:39:00,8,2,4,6,6,2,2,2,3,1,3,1,,2,3,1,1,0,5,,1,3,4,,1,,1.04999995231628,2,2
65,"tjeqspghat170epa",10/19/2022 14:51:00,4,2,3,2,,0,0,0,1,0,0,0,1,2,1967,0,0,1,0,0,1,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,4,10,1,4,2,4,1,,,,,,,1,4,,,1,4,2,1,2,2,1,4,4,2,,,,2,2,2,1,1,1,2,3,4,3,2,1,3,1,1,1,1,1,1,1,4,1,3,,,1,1,0,0,0,0,,,,,,4,1,0,0,0,0,0,0,1,2,4,4,1,1,0,1,4,694.88,14,,10,,1,2,10/19/2022 14:39:00,9,1,1,1,1,4,2,2,1,1,3,3,,1,1,5,1,10,5,,1,1,2,,2,,1.91946589946747,2,1
66,"gw9ykjfdb3ayy3zn",10/19/2022 15:03:00,98,1,3,3,1,1,0,0,0,0,0,0,1,1,1970,0,0,1,0,0,1,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,4,10,1,4,1,4,1,,,,,,,2,4,,,1,4,1,1,3,4,1,4,4,1,1,0,0,1,1,1,1,1,1,4,4,4,2,2,1,3,1,1,1,1,1,1,1,4,1,1,,,1,1,0,0,0,0,,,,,,1,0,1,1,1,0,0,0,1,1,1,1,1,5,1,0,5,1292.31,4,,10,,5,6,10/19/2022 14:40:00,8,1,1,6,1,4,1,1,1,1,1,,5,1,1,3,1,10,,1,1,1,1,1,,,0.427499979734421,2,1
67,"pspyd3xvuxmhrwgy",10/19/2022 15:14:00,98,1,3,3,1,1,0,0,0,0,0,0,1,2,1983,0,1,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,1,1,2,4,2,10,4,2,4,3,4,,,,,,,4,2,,,3,4,1,2,3,2,4,4,4,2,,,,4,2,2,4,3,1,2,3,4,2,1,2,3,2,2,1,4,2,2,4,3,2,2,,,1,1,0,0,0,0,,,,,,1,0,0,0,0,0,1,0,1,1,1,1,5,5,1,0,5,1889.26,4,,10,,5,6,10/19/2022 14:41:00,8,3,4,3,4,6,1,1,4,4,3,,4,1,1,4,4,5,,1,1,1,2,1,,,0.504157483577728,2,3
69,"ha5vfu3kn9dwcymw",10/19/2022 15:29:00,98,1,3,1,,0,0,0,0,1,0,0,1,2,1969,0,0,1,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,3,3,3,10,5,5,2,5,2,,,,,,,5,2,,,6,3,3,4,4,4,2,2,1,2,,,,2,2,2,2,2,2,2,3,2,2,3,2,3,4,4,4,4,4,4,4,3,1,1,12,,,1,0,0,0,0,1,2,2,3,1,1,0,0,1,0,0,0,1,1,1,1,1,3,2,0,1,5,2213.5,3,,10,,5,6,10/19/2022 14:45:00,11,2,2,2,2,3,2,2,2,2,2,4,,1,3,2,4,6,2,,1,2,1,,1,,0.588541865348816,1,2
71,"9qa3wse6jqdhu7ce",10/19/2022 18:28:00,113,2,3,5,2,0,1,0,0,0,0,0,1,1,1980,0,0,1,0,0,1,3,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,3,4,10,2,4,3,4,4,,,,,,,2,4,,,6,1,1,3,1,1,3,2,2,1,1,0,0,1,1,1,2,1,1,3,3,4,2,1,1,3,4,4,1,1,4,1,4,4,1,5,,,2,0,0,0,1,0,,,,,,4,0,1,0,0,0,0,0,1,1,1,2,3,4,1,0,6,13028.71,4,,12,,5,6,10/19/2022 14:51:00,8,2,1,1,1,6,2,1,1,1,3,,1,2,3,3,1,10,,1,1,1,2,2,,"85053",0.880649983882904,2,2
72,"htze2rjmzsb0h153",10/19/2022 15:22:00,98,1,3,1,,0,0,0,0,1,0,0,1,2,1950,0,0,0,1,0,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,2,2,4,5,2,4,2,6,2,,,,,,,4,2,,,2,4,4,4,4,4,3,3,1,2,,,,4,1,1,1,1,4,2,4,1,2,3,1,1,4,4,4,4,4,4,4,4,1,1,12,,,0,1,0,0,0,1,1,1,2,3,4,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,5,1237.88,4,,10,,5,6,10/19/2022 14:55:00,11,1,1,2,1,4,1,1,1,2,3,,1,1,2,1,1,0,,1,1,1,2,2,,,0.647396087646484,1,1
